"";"KID";"API_NUMBER_SIMPLE";"LATITUDE";"LONGITUDE";"swd_inj_ci"
"3187";1006014099;"15-007-20342";37,287941;-98,8565959;"swd"
"16602";1044994045;"15-007-20395";37,3543816;-98,7689199;"swd"
"3188";1006014240;"15-007-20415";37,4654911;-98,5054567;"swd"
"12769";1037996434;"15-007-20439";37,240454;-98,5191916;"swd"
"8145";1030217869;"15-007-20454";37,2344468;-98,3910747;"swd"
"3190";1006014332;"15-007-20461";37,2508566;-98,9588484;"swd"
"3191";1006014338;"15-007-20464";37,4586946;-98,8443713;"swd"
"16593";1044984503;"15-007-20474";37,3825487;-98,3884097;"swd"
"13468";1040550807;"15-007-20484";37,134771;-98,8766541;"swd"
"3192";1006014402;"15-007-20496";37,0351507;-98,5638072;"swd"
"7295";1027703228;"15-007-20510";37,0148932;-98,6780474;"swd"
"16603";1044994046;"15-007-20516";37,3351393;-98,7104843;"swd"
"3193";1006014516;"15-007-20554";37,1685135;-98,4411658;"swd"
"16411";1044904121;"15-007-20561";37,1792822;-98,4414668;"swd"
"11462";1036179311;"15-007-20603";37,3630758;-98,8818623;"swd"
"13262";1039260286;"15-007-20621";37,235036;-98,6422745;"swd"
"7883";1028647016;"15-007-20624";37,2624248;-98,8455523;"swd"
"14121";1042434189;"15-007-20640";37,026652;-98,5237725;"swd"
"14561";1043455470;"15-007-20693";37,3156653;-98,5640175;"swd"
"13763";1041343208;"15-007-20734";37,0349604;-98,573649;"swd"
"12425";1037338620;"15-007-20742";37,4535775;-98,5615271;"swd"
"16320";1044866650;"15-007-20748";37,4682616;-98,7204221;"swd"
"13690";1041105141;"15-007-20768";37,13239;-98,49685;"swd"
"12756";1037995553;"15-007-20770";36,9997302;-98,5925191;"swd"
"3198";1006014940;"15-007-20772";37,4661695;-98,7185558;"swd"
"8310";1030568302;"15-007-20795";37,1202239;-98,4932211;"swd"
"12954";1038452490;"15-007-20809";37,1892825;-98,9092996;"swd"
"16622";1044997330;"15-007-20810";37,3029064;-98,620693;"swd"
"16157";1044762210;"15-007-20867";37,0383651;-98,6295336;"swd"
"8014";1029100393;"15-007-20913";37,2812;-98,64756;"swd"
"16158";1044762211;"15-007-20957";37,0383651;-98,6385812;"swd"
"3200";1006015349;"15-007-20982";37,0147694;-98,6338773;"swd"
"16149";1044760888;"15-007-21009";37,0365607;-98,6202519;"swd"
"16143";1044760852;"15-007-21031";37,0366209;-98,6112056;"swd"
"15739";1044216907;"15-007-21050";37,2232019;-98,8607598;"swd"
"16218";1044797739;"15-007-21072";37,0054584;-98,6479422;"swd"
"3";1001185299;"15-007-21114";37,0263998;-98,6198884;"swd"
"15866";1044563425;"15-007-21160";37,0510972;-98,6296341;"swd"
"16144";1044760853;"15-007-21189";37,036651;-98,6066824;"swd"
"16145";1044760854;"15-007-21234";37,0438735;-98,611358;"swd"
"15665";1044190511;"15-007-21257";37,0822016;-98,5087835;"swd"
"8618";1031332554;"15-007-21259";37,31807;-98,52015;"swd"
"8619";1031332555;"15-007-21262";37,450578;-98,7586924;"swd"
"9293";1032644168;"15-007-21264";37,0076019;-98,5843757;"swd"
"18543";1046822077;"15-007-21288";37,3426168;-98,6155959;"swd"
"16337";1044878896;"15-007-21316";37,3270972;-98,6919618;"swd"
"8620";1031332556;"15-007-21327";37,2156652;-98,3772453;"swd"
"3205";1006016025;"15-007-21338";37,0070056;-98,5922453;"swd"
"14339";1042916821;"15-007-21343";37,0851316;-98,7682098;"swd"
"3206";1006016049;"15-007-21350";37,1296676;-98,352149;"swd"
"16146";1044760855;"15-007-21377";37,0511304;-98,6205529;"swd"
"16153";1044761508;"15-007-21378";37,0439274;-98,6022791;"swd"
"3207";1006016093;"15-007-21384";37,3568632;-98,5805072;"swd"
"4";1001185566;"15-007-21385";37,3709963;-98,8374563;"swd"
"3208";1006016124;"15-007-21400";37,2588171;-98,3633967;"swd"
"3209";1006016136;"15-007-21406";37,3607681;-98,5992433;"swd"
"3210";1006016174;"15-007-21428";37,279511;-98,5605437;"swd"
"3211";1006016186;"15-007-21437";37,3996456;-98,6301363;"swd"
"3212";1006016324;"15-007-21513";37,0244414;-98,6346572;"swd"
"12690";1037893327;"15-007-21557";37,2953558;-98,7422395;"swd"
"14012";1042199456;"15-007-21577";37,2512746;-98,8201344;"swd"
"3214";1006016484;"15-007-21595";37,2430971;-98,8384879;"swd"
"12048";1037029222;"15-007-21651";37,2960072;-98,4804211;"swd"
"6366";1006817666;"15-007-21669";37,2226563;-98,3691413;"swd"
"3215";1006016716;"15-007-21718";37,2219668;-98,4367029;"swd"
"3216";1006016782;"15-007-21753";37,2914114;-98,7602725;"swd"
"12753";1037994692;"15-007-21754";37,225426;-98,3690952;"swd"
"12766";1037996120;"15-007-21853";37,2336051;-98,4299937;"swd"
"12588";1037779185;"15-007-21875";37,3859877;-98,6208841;"swd"
"16057";1044637134;"15-007-21914";37,2492854;-98,4852176;"swd"
"13461";1040008006;"15-007-21924";37,3358354;-98,7745573;"swd"
"16604";1044994047;"15-007-21939";37,3215718;-98,7365111;"swd"
"16431";1044912838;"15-007-21957";37,422786;-98,7315102;"swd"
"3223";1006017164;"15-007-21958";37,42502;-98,73154;"swd"
"3224";1006017224;"15-007-21991";37,2363694;-98,5206184;"swd"
"15571";1044171334;"15-007-22012";37,3127065;-98,6663044;"swd"
"3225";1006017266;"15-007-22015";37,277807;-98,4693617;"swd"
"3226";1006017294;"15-007-22030";37,2920568;-98,4937706;"swd"
"9587";1033673442;"15-007-22054";37,2287461;-98,409346;"swd"
"3227";1006017380;"15-007-22081";37,1985764;-98,4041353;"swd"
"16021";1044628973;"15-007-22089";37,2928153;-98,544719;"swd"
